gender,sexual_orientation,location_type,numeric_value(location),income_bracket,numeric_value(income),education_level,interest_tags,app_usage_time_min,app_usage_time_label,swipe_right_ratio,swipe_right_label,likes_received,mutual_matches,profile_pics_count,bio_length,message_sent_count,emoji_usage_rate,last_active_hour,swipe_time_of_day,match_outcome,target_variable
Genderfluid,Asexual,Suburban,2,Very Low,0,Master’s,"Painting, Astrology, Social Activism",89,High,0.58,Optimistic,199,21,3,356,61,0.47,20,Morning,Ghosted,2
Male,Queer,Urban,1,Lower-Middle,2,Associate’s,"Dancing, Fashion, Foodie",158,Addicted,0.57,Optimistic,131,12,6,278,60,0.49,8,Early Morning,Blocked,0
Non-binary,Asexual,Urban,1,Very High,6,Master’s,"Art, Photography, Cars",223,Extreme User,0.13,Choosy,102,23,3,458,49,0.38,10,Morning,Date Happened,0
Prefer Not to Say,Queer,Rural,4,Very High,6,Postdoc,"Art, Reading, Tattoos",217,Extreme User,0.5,Optimistic,20,13,4,421,23,0.69,17,Afternoon,Instant Match,0
Male,Gay,Rural,4,High,5,Bachelor’s,"Memes, Running, Startups",218,Extreme User,0.2,Balanced,42,22,3,179,57,0.38,1,After Midnight,Instant Match,0
Genderfluid,Demisexual,Rural,4,High,5,No Formal Education,"Cooking, K-pop, Podcasts",207,Extreme User,0.75,Swipe Maniac,93,16,6,383,86,0.27,5,Early Morning,Ghosted,2
Genderfluid,Queer,Urban,1,Low,1,High School,"Fitness, Social Activism, Cars",185,Extreme User,0.67,Optimistic,98,30,4,16,77,0.08,4,After Midnight,Date Happened,0
Non-binary,Asexual,Metro,0,Very High,6,High School,"Makeup, Traveling, Stand-up Comedy",187,Extreme User,0.58,Optimistic,101,10,5,142,31,0.48,3,Early Morning,Ghosted,2
Transgender,Demisexual,Small Town,3,Very Low,0,Bachelor’s,"Spirituality, Parenting, Running",109,High,0.45,Optimistic,156,9,5,469,62,0.15,6,Early Morning,Ghosted,2
Male,Queer,Suburban,2,High,5,PhD,"Reading, MMA, Foodie",177,Addicted,0.39,Balanced,181,2,4,277,37,0.27,9,Morning,Ghosted,2
Non-binary,Bisexual,Urban,1,Low,1,Diploma,"Fitness, Gardening, Music",184,Extreme User,0.35,Balanced,141,18,2,239,70,0.09,4,Late Night,One-sided Like,0
Male,Pansexual,Metro,0,High,5,PhD,"Stand-up Comedy, Poetry, Makeup",37,Moderate,0.67,Optimistic,32,10,5,37,57,0.37,14,After Midnight,Relationship Formed,0
Non-binary,Lesbian,Small Town,3,High,5,Diploma,"Traveling, Board Games, Investing",28,Low,0.99,Swipe Maniac,31,16,1,155,21,0.16,5,Afternoon,Blocked,0
Non-binary,Pansexual,Urban,1,Lower-Middle,2,Associate’s,"Podcasts, Languages, Art",64,High,0.62,Optimistic,160,9,4,273,11,0.13,16,After Midnight,Ghosted,2
Genderfluid,Lesbian,Suburban,2,High,5,Master’s,"Makeup, Dancing, Music",41,Moderate,0.82,Swipe Maniac,11,10,6,295,33,0.2,20,Morning,Catfished,0
Transgender,Straight,Metro,0,High,5,Postdoc,"Coding, Social Activism, Memes",247,Extreme User,0.66,Optimistic,62,25,6,350,51,0.19,9,Evening,One-sided Like,0
Prefer Not to Say,Straight,Suburban,2,Middle,3,MBA,"Skating, Clubbing, Tech",174,Addicted,0.47,Optimistic,155,4,2,441,91,0.15,10,After Midnight,Instant Match,0
Transgender,Lesbian,Rural,4,Upper-Middle,4,Postdoc,"Movies, Foodie, Fitness",238,Extreme User,0.04,Choosy,31,8,3,126,18,0.17,3,Early Morning,No Action,0
Transgender,Demisexual,Suburban,2,Very High,6,Diploma,"Foodie, Makeup, Tattoos",160,Addicted,0.45,Optimistic,48,24,1,255,65,0.08,14,Evening,No Action,0
Transgender,Straight,Urban,1,Middle,3,Postdoc,"Clubbing, Fitness, Tech",298,Extreme User,0.24,Balanced,90,1,0,144,63,0.18,19,After Midnight,Date Happened,0
Non-binary,Straight,Urban,1,Middle,3,Diploma,"Spirituality, Tattoos, Cars",206,Extreme User,0.45,Optimistic,93,1,3,26,72,0.12,17,Morning,Instant Match,0
Genderfluid,Pansexual,Urban,1,Middle,3,Postdoc,"Running, Crafting, Languages",143,Addicted,0.53,Optimistic,159,21,4,60,16,0.27,3,Evening,Instant Match,0
Non-binary,Asexual,Suburban,2,Low,1,Postdoc,"Binge-Watching, Investing, Dancing",23,Low,0.39,Balanced,9,2,5,170,60,0.08,16,Evening,Ghosted,2
Genderfluid,Lesbian,Rural,4,Upper-Middle,4,Master’s,"Anime, Binge-Watching, History",153,Addicted,0.28,Balanced,151,10,4,424,65,0.13,17,Evening,Catfished,0
Non-binary,Queer,Urban,1,Lower-Middle,2,Master’s,"MMA, Photography, Poetry",298,Extreme User,0.75,Swipe Maniac,78,25,5,446,88,0.03,20,Early Morning,Catfished,0
